index,lat,lon,unk_u16,speed_raw
198,41.567161,44.948708,736,118
199,41.567146,44.948694,731,118
200,41.567131,44.948681,733,117
201,41.567114,44.948669,728,116
202,41.567097,44.948659,723,114
203,41.567081,44.948651,723,112
204,41.567064,44.948644,710,110
205,41.567046,44.948639,704,108
206,41.567029,44.948636,698,106
207,41.567011,44.948634,685,103
208,41.566994,44.948634,671,100
209,41.566976,44.948634,688,99
210,41.566959,44.948639,679,95
211,41.566942,44.948644,688,94
212,41.566926,44.948651,688,91
213,41.566909,44.948659,694,88
214,41.566892,44.948669,704,86
215,41.566877,44.948681,720,84
216,41.566861,44.948693,740,83
217,41.566844,44.948706,757,82
218,41.566827,44.948721,772,81
219,41.566812,44.948734,780,80
220,41.566796,44.948751,794,79
221,41.566779,44.948768,810,79
222,41.566764,44.948784,819,78
223,41.566747,44.948803,831,77
224,41.566732,44.948821,842,76
225,41.566717,44.948841,854,76
226,41.566701,44.948861,864,75
227,41.566686,44.948881,875,74
228,41.566671,44.948903,884,74
229,41.566655,44.948924,896,74
230,41.56664,44.948946,902,73
231,41.566625,44.948969,908,73
232,41.566608,44.948991,920,74
233,41.566593,44.949013,920,74
234,41.566576,44.949036,932,74
235,41.56656,44.949058,935,74
236,41.566545,44.949081,944,74
237,41.566528,44.949104,946,74
238,41.566511,44.949128,950,73
239,41.566495,44.949151,958,73
240,41.566478,44.949174,960,73
241,41.566463,44.949198,960,73
242,41.566446,44.949223,970,73
243,41.56643,44.949246,968,73
244,41.566415,44.949269,971,73
245,41.566398,44.949294,976,73
246,41.566381,44.949319,978,73
247,41.566366,44.949344,979,72
248,41.56635,44.949368,983,72
249,41.566333,44.949393,987,72
250,41.566318,44.949418,991,72
251,41.566301,44.949443,992,72
252,41.566285,44.949468,994,72
253,41.56627,44.949494,999,72
254,41.566253,44.949519,999,72
255,41.566236,44.949544,1006,72
256,41.566221,44.949571,1003,72
257,41.566205,44.949596,1001,71
258,41.56619,44.949623,989,71
259,41.566175,44.949648,970,71
260,41.56616,44.949671,948,71
261,41.566146,44.949696,926,71
262,41.566131,44.949719,904,71
263,41.566118,44.949743,885,71
264,41.566106,44.949764,861,70
265,41.566093,44.949788,836,70
266,41.566081,44.949808,814,70
267,41.56607,44.949829,790,70
268,41.56606,44.949851,768,69
269,41.56605,44.949873,769,67
270,41.566041,44.949896,768,65
271,41.566033,44.949918,763,64
272,41.566026,44.949943,764,62
273,41.56602,44.949966,771,61
274,41.566015,44.949991,772,60
275,41.56601,44.950016,759,57
276,41.566008,44.950041,762,56
277,41.566006,44.950065,753,53
278,41.566006,44.950091,758,52
279,41.566006,44.950116,748,49
280,41.566008,44.950141,750,48
281,41.56601,44.950166,759,47
282,41.566015,44.950191,743,44
283,41.56602,44.950215,741,42
284,41.566026,44.950238,736,39
285,41.566033,44.950261,743,38
286,41.566043,44.950283,754,35
287,41.566051,44.950306,764,34
288,41.566061,44.95033,782,33
289,41.566073,44.950351,795,31
290,41.566085,44.950373,808,31
291,41.566098,44.950395,811,29
292,41.56611,44.950416,826,28
293,41.566125,44.950438,843,27
294,41.566138,44.95046,851,27
295,41.566153,44.950481,868,27
296,41.566168,44.950503,876,27
297,41.566183,44.950526,887,27
298,41.566196,44.95055,899,28
299,41.56621,44.950573,910,28
300,41.566225,44.950598,911,29
301,41.566238,44.950623,922,30
302,41.566251,44.950648,929,30
303,41.566265,44.950675,933,30
304,41.566278,44.950701,941,31
305,41.56629,44.950726,935,31
306,41.566303,44.950751,929,31
307,41.566316,44.950776,918,31
308,41.566328,44.950801,898,31
309,41.56634,44.950826,878,31
310,41.566353,44.95085,857,31
311,41.566365,44.950871,838,30
312,41.566376,44.950893,816,30
313,41.566386,44.950915,798,30
314,41.566398,44.950936,780,29
315,41.56641,44.950955,771,29
316,41.566423,44.950975,761,28
317,41.566435,44.950991,733,26
318,41.566448,44.951006,696,24
319,41.566461,44.95102,693,21
320,41.566475,44.951033,681,20
321,41.56649,44.951043,663,17
322,41.566505,44.951053,658,15
323,41.56652,44.95106,647,12
324,41.566535,44.951066,643,11
325,41.566551,44.951071,636,8
326,41.566566,44.951075,625,6
327,41.566581,44.951078,623,4
328,41.566598,44.951078,623,1
329,41.566613,44.951076,621,199
330,41.566626,44.951071,590,195
331,41.566641,44.951066,581,192
332,41.566653,44.951058,563,188
333,41.566665,44.95105,548,186
334,41.566676,44.951041,543,183
335,41.566686,44.951028,543,179
336,41.566696,44.951015,552,176
337,41.566706,44.951,558,172
338,41.566712,44.950985,552,169
339,41.566719,44.950968,559,166
340,41.566724,44.950951,558,163
341,41.566727,44.950933,562,160
342,41.566729,44.950915,567,156
343,41.566731,44.950896,575,154
344,41.566732,44.950876,579,151
345,41.566731,44.950856,584,149
346,41.566727,44.950836,599,146
347,41.566724,44.950818,606,143
348,41.566719,44.950798,609,140
349,41.566712,44.95078,610,137
350,41.566704,44.950761,619,134
351,41.566696,44.950745,620,131
352,41.566684,44.950728,635,129
353,41.566674,44.950711,639,127
354,41.566661,44.950698,656,124
355,41.566648,44.950683,661,122
356,41.566635,44.950671,664,120
357,41.56662,44.95066,674,118
358,41.566605,44.950648,693,117
359,41.56659,44.950636,709,116
360,41.566575,44.950623,724,117
361,41.566558,44.950611,742,117
362,41.566541,44.950598,752,117
363,41.566526,44.950585,764,117
364,41.56651,44.95057,776,117
365,41.566493,44.950556,792,118
366,41.566476,44.950541,800,118
367,41.56646,44.950525,814,119
368,41.566443,44.950508,827,120
369,41.566428,44.95049,832,121
370,41.566411,44.950471,841,123
371,41.566396,44.950451,853,124
372,41.566381,44.95043,864,125
373,41.566368,44.950408,870,126
374,41.566355,44.950385,878,128
375,41.566341,44.950361,880,129
376,41.566331,44.950336,881,131
377,41.56632,44.950311,884,133
378,41.566311,44.950285,885,135
379,41.566301,44.950258,879,136
380,41.566295,44.95023,876,138
381,41.56629,44.950201,873,140
382,41.566285,44.950173,874,142
383,41.566281,44.950145,863,144
384,41.56628,44.950116,865,146
385,41.56628,44.950088,851,148
386,41.566281,44.95006,850,150
387,41.566283,44.950031,851,152
388,41.566288,44.950005,843,154
389,41.566293,44.949976,854,156
390,41.566298,44.949949,842,158
391,41.566306,44.949923,840,161
392,41.566316,44.949898,846,162
393,41.566326,44.949873,844,164
394,41.566336,44.949848,850,166
395,41.56635,44.949824,861,168
396,41.566361,44.949801,862,169
397,41.566376,44.949779,867,171
398,41.566391,44.949756,878,172
399,41.566406,44.949734,890,172
400,41.566421,44.949711,899,172
401,41.566435,44.949688,906,172
402,41.56645,44.949666,912,172
403,41.566465,44.949641,922,172
404,41.56648,44.949618,927,172
405,41.566495,44.949594,933,172
406,41.56651,44.949571,939,172
407,41.566526,44.949546,944,172
408,41.566541,44.949523,948,172
409,41.566556,44.949498,952,172
410,41.566573,44.949474,956,172
411,41.566588,44.949449,960,172
412,41.566605,44.949426,957,172
413,41.56662,44.949403,940,172
414,41.566635,44.949379,916,173
