Parameter,Value
Model,Fisheye
RMSE,1.6645121281370288
fx,1031.395334387607
fy,1032.7202808428603
cx,959.4999896538751
cy,539.4999950656884
dist_0,0.00969280595615757
dist_1,-0.07786010690816582
dist_2,0.07175367601720968
dist_3,-0.03877014078186269
