Parameter,Value
Model,Rational
RMSE,1.680648092401895
fx,1032.3030184994955
fy,1033.5197519183025
cx,959.5014938997089
cy,539.4994266503533
dist_0,-0.1535101782191715
dist_1,0.06175695212648077
dist_2,-1.4991807040392685e-06
dist_3,1.8937836953749474e-06
dist_4,0.015100012052000717
dist_5,0.17820753907494521
dist_6,-0.041436538138127386
dist_7,0.05298631190102309
dist_8,0.0
dist_9,0.0
dist_10,0.0
dist_11,0.0
dist_12,0.0
dist_13,0.0
