Parameter,Value
Model,Standard Pinhole
RMSE,1.690248036342554
fx,1028.5071820156727
fy,1029.105450590657
cx,959.5022224684212
cy,539.5024567109995
dist_0,-0.303192228540134
dist_1,0.09436527679637575
dist_2,2.4068617891237384e-07
dist_3,-2.310738831238067e-06
dist_4,-0.013969277323251315
