Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,12931,996,0,0,885,1053,12840,0,41566100.82748961,44949772.909224,4040
1,12744,977,0,0,861,1038,12802,0,41566089,44949792,4040
1,12262,959,0,0,848,1029,12731,0,41566081,44949806,4040
1,12481,947,0,0,836,1023,12537,0,41566068,44949833,4040
1,12944,940,0,0,829,1025,12326,0,41566055,44949859,4040
1,13012,930,0,0,831,1027,12088,0,41566043,44949888,4040
1,12956,920,0,0,819,1027,11809,0,41566033,44949914,4040
1,12883,911,0,0,832,1020,11500,0,41566025,44949944,4040
1,12703,900,0,0,838,1012,11158,0,41566018,44949973,4040
1,12628,894,0,0,844,1007,10812,0,41566011,44950003,4040
1,12474,893,0,0,834,1005,10481,0,41566008,44950033,4040
1,12698,889,0,0,840,1025,10190,0,41566005,44950061,4040
1,12541,887,0,0,830,1028,9723,0,41566003,44950091,4030
1,12858,871,0,0,819,1030,9492,0,41566001,44950121,4030
1,12892,850,0,0,814,1019,9183,0,41566003,44950151,4030
1,12153,845,0,0,816,1006,8896,0,41566005,44950181,4030
1,12187,838,0,0,825,1001,8467,0,41566008,44950210,4030
1,12108,836,0,0,814,991,8020,0,41566013,44950238,4030
1,12031,841,0,0,832,996,7651,0,41566018,44950266,4030
1,12045,843,0,0,839,1000,7166,0,41566026,44950291,4020
1,12091,843,0,0,867,994,6789,0,41566035,44950318,4020
1,12053,842,0,0,884,984,6366,0,41566046,44950343,4020
1,11945,845,0,0,922,973,6025,0,41566056,44950368,4020
1,11878,854,0,0,942,973,5526,0,41566070,44950391,4020
1,11846,865,0,0,967,979,5251,0,41566085,44950413,4020
1,11914,874,0,0,984,983,4972,0,41566098,44950435,4020
1,11997,880,0,0,1012,990,4864,0,41566113,44950456,4020
1,12135,885,0,0,1027,987,4734,0,41566128,44950478,4020
1,12292,889,0,0,1048,991,4670,0,41566145,44950498,4020
1,12471,892,0,0,1056,982,4627,0,41566160,44950520,4010
1,12285,897,0,0,1061,987,4632,0,41566175,44950541,4010
