Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,13866,1020,0,0,880,1033,12943,0,41566099.38835432,44949771.74383523,4030
1,13590,1007,0,0,862,1037,12903,0,41566093,44949784,4030
1,13134,989,0,0,847,1041,12805,0,41566085,44949798,4030
1,12599,979,0,0,848,1055,12644,0,41566070,44949826,4030
1,12277,963,0,0,849,1065,12400,0,41566056,44949853,4030
1,12055,937,0,0,842,1054,12158,0,41566045,44949883,4030
1,11750,915,0,0,841,1038,11932,0,41566033,44949911,4030
1,11857,899,0,0,847,1024,11650,0,41566023,44949939,4030
1,12232,887,0,0,834,1020,11312,0,41566016,44949968,4030
1,12312,881,0,0,847,1025,11029,0,41566010,44949996,4020
1,12262,875,0,0,849,1018,10744,0,41566003,44950025,4030
1,12474,863,0,0,835,1026,10394,0,41566000,44950055,4030
1,12244,858,0,0,839,1039,10060,0,41565996,44950083,4030
1,12381,851,0,0,851,1055,9736,0,41565995,44950113,4020
1,11954,828,0,0,829,1047,9276,0,41565995,44950141,4020
1,10936,807,0,0,829,1034,9119,0,41565995,44950170,4020
1,11152,796,0,0,843,1023,8749,0,41565998,44950198,4020
1,11409,784,0,0,840,1019,8188,0,41566001,44950225,4020
1,11254,776,0,0,841,1010,7859,0,41566006,44950251,4020
1,11337,773,0,0,852,1010,7479,0,41566013,44950276,4010
1,11393,767,0,0,860,1007,6996,0,41566020,44950301,4010
1,11269,764,0,0,871,991,6557,0,41566030,44950325,4010
1,11045,763,0,0,892,983,6121,0,41566040,44950346,4010
1,11029,768,0,0,918,973,5712,0,41566051,44950368,4010
1,10826,778,0,0,948,978,5325,0,41566063,44950388,4010
1,10828,786,0,0,988,974,4977,0,41566076,44950408,4010
1,10911,794,0,0,1023,977,4634,0,41566090,44950426,4010
1,11015,804,0,0,1049,973,4368,0,41566105,44950445,4010
1,11139,813,0,0,1066,979,4253,0,41566120,44950461,4000
1,11223,821,0,0,1071,978,4229,0,41566135,44950480,4000
1,11335,829,0,0,1068,987,4292,0,41566150,44950498,4000
1,11415,835,0,0,1060,983,4471,0,41566165,44950518,4000
1,11452,840,0,0,1049,983,4653,0,41566178,44950538,4000
1,11516,845,0,0,1040,981,4854,0,41566191,44950560,4000
1,11583,853,0,0,1034,984,5027,0,41566205,44950581,4000
1,11643,859,0,0,1025,987,5137,0,41566218,44950603,4000
1,11714,864,0,0,1022,987,5271,0,41566231,44950626,4000
1,11778,869,0,0,1018,986,5346,0,41566243,44950650,4000
1,11874,873,0,0,1013,985,5418,0,41566256,44950673,3990
1,11926,878,0,0,1011,983,5478,0,41566268,44950696,3990
1,12000,884,0,0,1011,984,5525,0,41566281,44950721,3990
1,12072,890,0,0,1008,987,5555,0,41566293,44950745,3990
1,12145,896,0,0,1001,1003,5589,0,41566305,44950770,3990
1,12217,900,0,0,991,1029,5620,0,41566318,44950795,3990
1,12153,895,0,0,976,1053,5626,0,41566330,44950818,3990
1,11361,877,0,0,952,1067,5651,0,41566343,44950843,3990
1,10471,852,0,0,938,1069,5677,0,41566355,44950870,3990
1,9581,828,0,0,921,1063,5674,0,41566366,44950893,3990
1,8204,802,0,0,907,1064,5634,0,41566378,44950916,3990
1,7966,781,0,0,893,1061,5531,0,41566390,44950940,3990
1,8587,759,0,0,898,1063,5373,0,41566403,44950961,3980
1,9113,735,0,0,882,1053,5093,0,41566415,44950980,3980
1,9191,715,0,0,879,1053,4907,0,41566428,44951000,3980
1,9071,697,0,0,875,1050,4596,0,41566441,44951016,3980
1,8998,678,0,0,880,1045,4247,0,41566455,44951033,3980
1,8960,659,0,0,869,1033,3806,0,41566468,44951046,3980
1,8915,646,0,0,875,1015,3525,0,41566483,44951058,3980
1,9088,636,0,0,871,1006,2982,0,41566498,44951068,3980
1,9357,633,0,0,870,995,2529,0,41566513,44951076,3980
1,9208,634,0,0,863,993,2001,0,41566528,44951083,3980
1,9135,635,0,0,862,986,1556,0,41566543,44951088,3980
1,9118,639,0,0,858,988,1001,0,41566560,44951091,3980
1,9107,645,0,0,859,997,518,0,41566575,44951093,3980
1,9175,649,0,0,861,1005,35963,0,41566591,44951091,3980
1,9264,647,0,0,864,1011,35420,0,41566608,44951088,3980
1,9249,644,0,0,869,1011,34860,0,41566623,44951081,3980
1,9182,640,0,0,868,1018,34311,0,41566638,44951075,3980
1,9282,635,0,0,873,1017,33768,0,41566653,44951065,3980
1,9110,628,0,0,875,1009,33237,0,41566666,44951055,3980
1,9107,621,0,0,873,1005,32727,0,41566679,44951041,3980
1,8936,621,0,0,867,1000,32198,0,41566691,44951028,3980
1,8874,620,0,0,869,1002,31707,0,41566702,44951013,3980
1,8925,618,0,0,866,1002,31091,0,41566711,44950996,3980
1,9004,620,0,0,866,1005,30629,0,41566719,44950978,3980
1,9067,618,0,0,867,1010,30124,0,41566727,44950960,3980
1,8956,614,0,0,874,1011,29548,0,41566732,44950940,3980
1,8948,611,0,0,875,1010,28923,0,41566736,44950920,3980
1,8994,605,0,0,877,1011,28328,0,41566737,44950898,3980
1,8982,602,0,0,876,1009,27797,0,41566739,44950878,3990
1,8917,599,0,0,877,1009,27269,0,41566739,44950856,3990
1,8814,594,0,0,874,1003,26684,0,41566737,44950836,3990
1,8731,591,0,0,881,1000,26176,0,41566734,44950816,3990
1,8752,591,0,0,879,994,25582,0,41566729,44950796,3990
1,8819,591,0,0,885,1000,25052,0,41566722,44950778,3990
1,8746,594,0,0,891,993,24466,0,41566716,44950760,3990
1,8935,594,0,0,908,997,23888,0,41566707,44950743,3990
1,8653,594,0,0,928,981,23302,0,41566697,44950728,3990
1,8688,599,0,0,949,981,22856,0,41566687,44950713,3990
1,8443,605,0,0,968,975,22293,0,41566676,44950700,3990
1,8484,614,0,0,987,976,21850,0,41566663,44950688,3990
1,8591,622,0,0,994,977,21420,0,41566650,44950678,3990
1,8676,632,0,0,997,980,21235,0,41566636,44950668,3990
1,8769,640,0,0,1002,981,21232,0,41566625,44950656,3990
1,8854,645,0,0,1004,980,21175,0,41566610,44950645,4000
1,8968,652,0,0,1006,978,21164,0,41566596,44950635,4000
1,9062,660,0,0,1010,979,21166,0,41566583,44950623,4000
1,9149,668,0,0,1010,980,21138,0,41566568,44950611,4000
1,9254,676,0,0,1013,981,21178,0,41566555,44950600,4000
1,9338,683,0,0,1015,981,21220,0,41566541,44950588,4000
1,9438,689,0,0,1020,981,21253,0,41566526,44950576,4000
1,9540,697,0,0,1028,980,21293,0,41566511,44950563,4000
1,9633,704,0,0,1037,982,21325,0,41566498,44950551,4000
1,9730,711,0,0,1045,981,21374,0,41566483,44950538,4000
1,9823,718,0,0,1056,981,21450,0,41566468,44950525,4000
1,9922,724,0,0,1066,980,21514,0,41566453,44950511,4000
1,10016,732,0,0,1074,980,21634,0,41566440,44950496,4000
1,10109,739,0,0,1080,979,21782,0,41566425,44950481,4000
1,10207,746,0,0,1091,982,21974,0,41566411,44950466,4000
1,10295,754,0,0,1101,986,22158,0,41566398,44950450,4000
1,10387,760,0,0,1103,987,22379,0,41566385,44950431,4010
1,10463,763,0,0,1111,988,22635,0,41566371,44950413,4010
1,10561,769,0,0,1108,985,22879,0,41566360,44950395,4010
1,10623,774,0,0,1117,990,23144,0,41566348,44950375,4010
1,10727,778,0,0,1115,991,23457,0,41566336,44950353,4010
1,10668,782,0,0,1126,992,23794,0,41566328,44950331,4010
1,10806,784,0,0,1129,995,24061,0,41566318,44950308,4010
1,10806,787,0,0,1145,994,24408,0,41566310,44950285,4010
1,10901,789,0,0,1145,998,24613,0,41566303,44950261,4010
1,10966,790,0,0,1149,997,25034,0,41566296,44950236,4010
1,10993,791,0,0,1141,997,25323,0,41566291,44950211,4010
1,10995,792,0,0,1132,994,25721,0,41566288,44950186,4010
1,10968,793,0,0,1125,994,26108,0,41566286,44950160,4010
1,10946,796,0,0,1111,988,26510,0,41566285,44950133,4010
1,10936,798,0,0,1110,992,26923,0,41566285,44950108,4010
1,11047,803,0,0,1110,990,27264,0,41566286,44950081,4010
1,11072,807,0,0,1111,990,27549,0,41566290,44950055,4010
1,11139,808,0,0,1111,989,27808,0,41566293,44950030,4010
1,11119,814,0,0,1115,991,28115,0,41566296,44950003,4020
1,11142,818,0,0,1112,993,28337,0,41566301,44949976,4020
1,11204,819,0,0,1112,994,28649,0,41566308,44949951,4020
