Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,10176,842,0,0,988,1069,12765,0,41566100,44949781,4050
1,9606,817,0,0,988,1069,12745,0,41566100,44949781,4050
1,9606,817,0,0,988,1069,12745,0,41566100,44949781,4050
1,9212,792,0,0,988,1072,12710,0,41566086,44949803,4050
1,9133,768,0,0,990,1070,12702,0,41566075,44949824,4050
1,9253,742,0,0,991,1066,12661,0,41566063,44949846,4050
1,8951,716,0,0,994,1064,12651,0,41566051,44949866,4050
1,8641,695,0,0,997,1065,12604,0,41566041,44949888,4050
1,8165,672,0,0,999,1066,12563,0,41566031,44949906,4050
1,8038,647,0,0,1001,1067,12550,0,41566021,44949924,4050
1,7738,624,0,0,1001,1067,12525,0,41566011,44949943,4050
1,7305,600,0,0,1000,1072,12532,0,41566001,44949961,4050
1,7189,575,0,0,1001,1067,12524,0,41565993,44949978,4050
1,6868,550,0,0,1000,1066,12528,0,41565985,44949994,4050
1,6601,526,0,0,999,1064,12554,0,41565976,44950010,4050
1,6253,503,0,0,1000,1067,12577,0,41565968,44950025,4040
1,6055,480,0,0,1002,1065,12576,0,41565961,44950038,4050
1,5430,456,0,0,1002,1063,12542,0,41565955,44950051,4050
1,5027,432,0,0,1002,1047,12588,0,41565946,44950065,4040
1,5005,411,0,0,1004,1038,12569,0,41565940,44950076,4040
1,5304,398,0,0,1004,1018,12596,0,41565935,44950088,4040
1,5304,390,0,0,1004,1018,12636,0,41565928,44950100,4040
1,5276,389,0,0,1004,1009,12678,0,41565923,44950110,4040
1,5238,389,0,0,1004,1005,12724,0,41565916,44950120,4040
1,5238,384,0,0,1002,1005,12684,0,41565911,44950130,4050
1,5211,381,0,0,1001,1004,12831,0,41565905,44950141,4040
1,5192,381,0,0,999,1008,12856,0,41565898,44950151,4040
1,5179,378,0,0,996,1003,12911,0,41565893,44950160,4040
1,5142,376,0,0,993,1002,12953,0,41565880,44950180,4040
1,5136,375,0,0,987,1001,12953,0,41565880,44950180,4040
1,5108,375,0,0,982,1002,12991,0,41565873,44950190,4040
1,5088,374,0,0,976,1006,12959,0,41565868,44950200,4040
1,5084,372,0,0,971,1010,12893,0,41565861,44950210,4040
