Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,13793,1012,0,0,867,1040,12885,0,41566096.3862673,44949769.31279309,4020
1,13395,1000,0,0,848,1045,12856,0,41566084,44949789,4020
1,12684,981,0,0,839,1044,12741,0,41566076,44949803,4020
1,12461,965,0,0,837,1036,12548,0,41566063,44949831,4020
1,12257,952,0,0,830,1026,12320,0,41566050,44949859,4020
1,12222,938,0,0,830,1020,12061,0,41566040,44949888,4020
1,12618,931,0,0,834,1026,11751,0,41566030,44949916,4020
1,12752,926,0,0,840,1030,11447,0,41566021,44949946,4010
1,12602,912,0,0,830,1030,11134,0,41566013,44949974,4010
1,12355,900,0,0,853,1018,10860,0,41566006,44950005,4010
1,12442,893,0,0,832,1021,10504,0,41566003,44950035,4010
1,12424,886,0,0,823,1039,10154,0,41566000,44950065,4010
1,12153,879,0,0,820,1034,9852,0,41565996,44950095,4010
1,11732,855,0,0,819,1030,9571,0,41565996,44950125,4010
1,11755,838,0,0,801,1014,9165,0,41565996,44950155,4010
1,12000,839,0,0,837,1014,9013,0,41565998,44950185,4010
1,11964,831,0,0,830,1011,8358,0,41566001,44950211,4010
1,11921,825,0,0,827,998,7916,0,41566006,44950240,4010
1,11705,824,0,0,833,1003,7556,0,41566013,44950266,4010
1,11876,825,0,0,840,1002,7080,0,41566021,44950293,4010
1,11769,824,0,0,838,1000,6698,0,41566030,44950318,4010
1,11778,821,0,0,872,991,6448,0,41566040,44950343,4000
1,11741,823,0,0,904,985,5915,0,41566051,44950366,4000
1,11607,828,0,0,941,980,5500,0,41566065,44950388,4000
1,11540,833,0,0,974,979,5101,0,41566078,44950410,4000
1,11578,842,0,0,1009,981,4799,0,41566093,44950430,4000
1,11698,850,0,0,1035,985,4532,0,41566108,44950450,4000
1,11762,855,0,0,1049,986,4398,0,41566123,44950468,4000
1,11824,860,0,0,1057,985,4369,0,41566140,44950488,4000
1,12009,865,0,0,1059,987,4417,0,41566155,44950508,4000
1,12087,870,0,0,1056,985,4495,0,41566170,44950528,3990
1,12099,875,0,0,1056,986,4634,0,41566185,44950550,3990
1,12009,880,0,0,1054,982,4788,0,41566198,44950571,3990
1,12009,886,0,0,1049,986,4914,0,41566213,44950595,3990
1,12072,892,0,0,1049,987,5043,0,41566226,44950616,3990
1,12140,897,0,0,1041,987,5129,0,41566240,44950640,3990
1,12197,900,0,0,1031,987,5236,0,41566253,44950663,3990
1,12279,906,0,0,1021,985,5381,0,41566266,44950688,3990
1,12312,911,0,0,1015,988,5472,0,41566280,44950713,3990
1,12381,915,0,0,1002,995,5546,0,41566291,44950738,3990
1,12458,920,0,0,994,1016,5627,0,41566305,44950763,3990
1,12510,920,0,0,979,1043,5654,0,41566316,44950790,3980
1,12332,909,0,0,966,1062,5695,0,41566330,44950815,3980
1,11196,888,0,0,946,1073,5690,0,41566343,44950841,3980
1,9808,863,0,0,936,1068,5702,0,41566355,44950866,3980
1,9325,836,0,0,918,1061,5654,0,41566366,44950891,3980
1,9262,812,0,0,904,1063,5599,0,41566380,44950915,3980
1,10033,794,0,0,898,1065,5481,0,41566391,44950938,3980
1,9909,769,0,0,893,1067,5315,0,41566403,44950958,3980
1,9980,743,0,0,884,1056,5085,0,41566416,44950978,3980
1,9689,723,0,0,883,1055,4884,0,41566430,44950998,3980
1,9441,703,0,0,884,1055,4557,0,41566443,44951015,3980
1,9100,683,0,0,880,1053,4184,0,41566456,44951030,3970
1,8890,664,0,0,878,1048,3861,0,41566471,44951043,3970
1,8696,645,0,0,881,1041,3475,0,41566486,44951056,3970
1,8575,629,0,0,883,1031,3034,0,41566501,44951066,3970
1,8435,615,0,0,880,1026,2580,0,41566516,44951075,3970
1,8473,605,0,0,879,1010,2108,0,41566531,44951081,3970
1,8449,597,0,0,881,1003,1598,0,41566546,44951086,3970
1,8513,598,0,0,874,997,1056,0,41566561,44951088,3970
1,8539,603,0,0,873,1001,574,0,41566576,44951090,3970
1,8562,602,0,0,876,1002,76,0,41566591,44951090,3970
1,8548,601,0,0,882,995,35477,0,41566606,44951086,3970
1,8503,602,0,0,876,1002,34913,0,41566621,44951081,3970
1,8475,604,0,0,881,1005,34402,0,41566635,44951075,3970
1,8417,602,0,0,882,1012,33780,0,41566648,44951065,3970
1,8564,597,0,0,884,1008,33262,0,41566661,44951055,3970
1,8610,594,0,0,881,1003,32724,0,41566672,44951043,3970
1,8523,591,0,0,885,994,32282,0,41566684,44951030,3970
1,8473,591,0,0,883,990,31638,0,41566694,44951015,3970
1,8460,595,0,0,881,992,31102,0,41566702,44951000,3970
1,8551,599,0,0,880,994,30592,0,41566711,44950983,3970
1,8634,601,0,0,880,997,30070,0,41566717,44950965,3970
1,8688,602,0,0,880,993,29556,0,41566722,44950945,3980
1,8695,604,0,0,880,1001,29021,0,41566727,44950925,3980
1,8710,606,0,0,884,1002,28463,0,41566729,44950905,3980
1,8766,605,0,0,879,1008,27938,0,41566731,44950885,3980
1,8891,601,0,0,878,1003,27401,0,41566731,44950865,3980
1,8875,599,0,0,874,1000,26916,0,41566729,44950843,3980
1,8933,598,0,0,886,998,26384,0,41566727,44950823,3980
1,8896,599,0,0,883,990,25822,0,41566722,44950803,3980
1,8935,600,0,0,893,988,25380,0,41566717,44950785,3980
1,8731,604,0,0,898,988,24707,0,41566711,44950766,3980
1,8689,610,0,0,914,985,24194,0,41566702,44950748,3980
1,8754,613,0,0,917,981,23568,0,41566694,44950731,3990
1,8712,618,0,0,929,975,23290,0,41566684,44950716,3990
1,8786,628,0,0,939,980,22789,0,41566672,44950701,3990
1,8786,636,0,0,950,981,22374,0,41566661,44950688,3990
1,8867,642,0,0,955,983,22008,0,41566650,44950675,3990
1,8927,649,0,0,966,979,21768,0,41566636,44950661,3990
1,9023,655,0,0,977,981,21565,0,41566623,44950650,3990
1,9101,662,0,0,987,978,21355,0,41566610,44950638,3990
1,9171,670,0,0,997,981,21174,0,41566595,44950626,3990
1,9260,677,0,0,1010,979,21045,0,41566581,44950616,3990
1,9353,685,0,0,1016,980,20925,0,41566566,44950605,3990
1,9462,692,0,0,1026,980,20935,0,41566551,44950595,3990
1,9561,700,0,0,1035,979,20936,0,41566536,44950583,3990
1,9647,706,0,0,1046,981,20940,0,41566521,44950571,3990
1,9762,713,0,0,1056,983,20999,0,41566506,44950560,3990
1,9842,721,0,0,1066,983,21100,0,41566491,44950548,3990
1,9951,725,0,0,1074,985,21209,0,41566476,44950535,3990
1,10046,731,0,0,1081,980,21368,0,41566461,44950521,3990
1,10133,738,0,0,1087,985,21521,0,41566446,44950506,3990
1,10197,744,0,0,1089,980,21742,0,41566431,44950491,4000
1,10275,750,0,0,1090,981,21982,0,41566418,44950476,4000
1,10353,756,0,0,1092,983,22228,0,41566405,44950458,4000
1,10413,764,0,0,1093,987,22478,0,41566391,44950441,4000
1,10484,769,0,0,1095,988,22728,0,41566380,44950421,4000
1,10533,772,0,0,1094,987,23011,0,41566368,44950401,4000
1,10600,778,0,0,1097,986,23255,0,41566356,44950381,4000
1,10651,782,0,0,1107,992,23496,0,41566345,44950360,4000
1,10771,787,0,0,1107,990,23766,0,41566335,44950338,4000
1,10789,790,0,0,1120,996,24000,0,41566326,44950316,4000
1,10911,792,0,0,1128,991,24302,0,41566318,44950293,4000
1,10875,794,0,0,1142,996,24512,0,41566310,44950268,4000
1,10958,796,0,0,1144,997,24782,0,41566303,44950245,4000
1,11017,799,0,0,1153,999,25164,0,41566298,44950218,4000
1,11059,798,0,0,1148,999,25399,0,41566293,44950193,4000
