Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,13354,1004,0,0,883,1042,12900,0,41566096,44949769,4040
1,12892,987,0,0,857,1040,12868,0,41566089,44949782,4030
1,12552,973,0,0,847,1031,12793,0,41566081,44949796,4030
1,12335,959,0,0,837,1030,12576,0,41566068,44949823,4030
1,12647,948,0,0,830,1024,12423,0,41566055,44949849,4030
1,12867,939,0,0,827,1019,12191,0,41566043,44949876,4030
1,12872,930,0,0,826,1010,11879,0,41566031,44949904,4030
1,12889,925,0,0,830,1017,11551,0,41566023,44949934,4030
1,12906,923,0,0,824,1012,11218,0,41566016,44949963,4030
1,12861,914,0,0,839,1018,10947,0,41566010,44949993,4030
1,12765,909,0,0,839,1011,10633,0,41566003,44950023,4030
1,12839,906,0,0,826,1038,10272,0,41566000,44950053,4020
1,12725,898,0,0,834,1029,9900,0,41565998,44950083,4020
1,13250,878,0,0,824,1023,9594,0,41565998,44950115,4020
1,12693,861,0,0,800,1005,9248,0,41565998,44950145,4020
1,11968,862,0,0,810,1004,9057,0,41565998,44950175,4020
1,12043,858,0,0,828,1004,8647,0,41566001,44950203,4020
1,12084,856,0,0,822,1011,8096,0,41566006,44950231,4020
1,11935,857,0,0,828,1029,7840,0,41566011,44950260,4010
1,11750,850,0,0,841,1035,7340,0,41566020,44950288,4010
1,11598,834,0,0,852,1028,6876,0,41566028,44950313,4010
1,11179,822,0,0,867,1014,6564,0,41566038,44950340,4010
1,11043,815,0,0,874,1002,6197,0,41566048,44950365,4010
1,10993,811,0,0,905,996,5842,0,41566060,44950386,4010
1,11437,813,0,0,940,988,5373,0,41566073,44950408,4010
1,11419,816,0,0,971,989,5019,0,41566086,44950428,4010
1,11450,819,0,0,999,978,4806,0,41566101,44950448,4010
1,11417,825,0,0,1038,984,4595,0,41566116,44950466,4010
1,11525,833,0,0,1059,984,4323,0,41566131,44950485,4010
1,11576,839,0,0,1065,990,4219,0,41566146,44950503,4010
1,11650,842,0,0,1065,986,4290,0,41566161,44950523,4000
1,11787,847,0,0,1065,983,4458,0,41566176,44950543,4000
1,11657,852,0,0,1060,985,4580,0,41566191,44950563,4000
1,11677,859,0,0,1050,981,4766,0,41566205,44950585,4000
1,11743,864,0,0,1043,986,4908,0,41566218,44950606,4000
