Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,13683,1014,0,0,862,1034,12877,0,41566103.40943983,44949775.00004607,4030
1,13368,1003,0,0,852,1040,12877,0,41566094,44949791,4030
1,12908,988,0,0,846,1052,12733,0,41566086,44949804,4030
1,12343,974,0,0,851,1057,12527,0,41566073,44949833,4030
1,12019,953,0,0,851,1061,12283,0,41566061,44949861,4020
1,11723,929,0,0,852,1047,12028,0,41566050,44949889,4020
1,11983,911,0,0,850,1046,11743,0,41566040,44949919,4020
1,11990,895,0,0,853,1032,11489,0,41566030,44949948,4020
1,12057,879,0,0,845,1025,11178,0,41566023,44949976,4020
1,12050,869,0,0,863,1011,10930,0,41566016,44950005,4020
1,12050,864,0,0,850,1004,10624,0,41566011,44950033,4020
1,11945,859,0,0,836,1019,10274,0,41566008,44950061,4020
1,12002,860,0,0,838,1025,9957,0,41566006,44950091,4020
1,12045,851,0,0,833,1036,9633,0,41566005,44950120,4020
1,12205,834,0,0,811,1025,9278,0,41566005,44950150,4020
1,11911,826,0,0,828,1020,9144,0,41566005,44950178,4010
1,11448,817,0,0,839,1013,8618,0,41566008,44950206,4010
1,11558,809,0,0,837,1002,8109,0,41566013,44950235,4010
1,11616,808,0,0,850,998,7783,0,41566018,44950261,4010
1,11673,808,0,0,852,987,7317,0,41566026,44950286,4010
1,11514,809,0,0,853,981,6898,0,41566035,44950311,4010
1,11525,816,0,0,873,975,6539,0,41566043,44950336,4010
1,11540,825,0,0,895,978,6142,0,41566055,44950360,4010
1,11607,833,0,0,920,979,5780,0,41566066,44950383,4010
1,11583,841,0,0,957,977,5482,0,41566080,44950405,4010
1,11616,848,0,0,993,984,5104,0,41566093,44950426,4010
1,11714,856,0,0,1012,978,4781,0,41566108,44950446,4010
1,11838,862,0,0,1029,988,4646,0,41566123,44950466,4000
1,11911,868,0,0,1045,983,4563,0,41566138,44950486,4000
