Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,13774,1016,0,0,869,1049,12949,0,41566100.44815122,44949772.60204184,4040
1,13230,999,0,0,858,1050,12887,0,41566089,44949791,4040
1,12760,982,0,0,856,1058,12751,0,41566081,44949804,4040
1,12257,963,0,0,848,1063,12525,0,41566066,44949833,4040
1,11783,940,0,0,846,1054,12339,0,41566055,44949859,4040
1,11261,916,0,0,845,1043,12080,0,41566043,44949888,4030
1,11472,900,0,0,842,1035,11804,0,41566033,44949916,4030
1,12214,888,0,0,841,1034,11527,0,41566023,44949944,4030
1,11846,874,0,0,838,1026,11236,0,41566016,44949973,4030
1,11711,862,0,0,850,1017,10926,0,41566010,44950001,4030
1,11815,856,0,0,850,1006,10584,0,41566005,44950030,4030
1,11976,851,0,0,836,1020,10246,0,41566001,44950058,4030
1,11911,849,0,0,834,1031,9887,0,41565998,44950086,4030
1,12187,841,0,0,833,1034,9549,0,41565998,44950115,4030
1,12394,823,0,0,817,1016,9166,0,41565998,44950143,4030
1,11741,814,0,0,825,999,8937,0,41566000,44950173,4030
1,11725,814,0,0,833,992,8572,0,41566001,44950200,4020
1,11714,815,0,0,833,989,8001,0,41566006,44950226,4020
1,11614,819,0,0,853,987,7605,0,41566013,44950253,4020
1,11657,825,0,0,869,986,7170,0,41566020,44950280,4020
1,11668,828,0,0,874,986,6725,0,41566030,44950305,4020
1,11565,833,0,0,896,983,6448,0,41566038,44950330,4020
1,11556,840,0,0,914,983,5996,0,41566050,44950353,4010
1,11673,844,0,0,925,982,5610,0,41566063,44950376,4010
1,11727,851,0,0,951,980,5431,0,41566076,44950398,4010
1,11794,858,0,0,978,984,5198,0,41566090,44950420,4010
1,11838,864,0,0,999,979,4991,0,41566103,44950441,4010
1,11914,870,0,0,1026,990,4815,0,41566118,44950463,4010
1,11964,878,0,0,1039,989,4645,0,41566133,44950483,4010
1,12082,880,0,0,1042,996,4605,0,41566150,44950505,4010
1,12279,881,0,0,1042,986,4660,0,41566165,44950526,4010
1,12123,886,0,0,1048,988,4750,0,41566180,44950548,4010
1,12170,890,0,0,1046,984,4804,0,41566193,44950570,4010
